"","x"
"355",6
"356",6
"357",7
"358",3
"359",6
"360",2
"361",6
"362",3
"363",3
"364",4
"365",5
"366",4
"367",8
"368",8
"369",7
"370",3
"371",4
"372",3
"373",5
"374",4
"375",3
"376",4
"377",3
"378",5
"379",1
"380",4
"381",5
"382",5
"383",5
"384",2
"385",4
"386",6
"387",6
"388",6
"389",4
"390",5
"391",6
"392",4
"393",2
"394",3
"395",1
"396",5
"397",3
"398",3
"399",3
"400",6
"401",9
"402",9
"403",7
"404",5
"405",8
"406",6
"407",9
"408",7
"409",4
"410",5
"411",4
"412",2
"413",2
"414",4
"415",3
"416",7
"417",7
"418",5
"419",4
"420",2
"421",3
"422",8
"423",7
"424",6
"425",4
"426",2
"427",4
"428",7
"429",5
"430",2
"431",6
"432",1
"433",5
"434",4
"435",5
"436",7
"437",6
"438",4
"439",4
"440",4
"441",4
"442",3
"443",3
"444",1
"445",5
"446",7
"447",6
"448",5
"449",5
"450",3
"451",7
"452",9
"453",9
"454",5
"455",5
"456",3
"457",3
"458",4
"459",0
"460",0
"461",5
"462",4
"463",2
"464",5
"465",2
"466",6
"467",4
"468",2
"469",3
"470",4
"471",5
"472",3
"473",4
"474",8
"475",10
"476",7
"477",2
"478",5
"479",6
"480",11
"481",4
"482",6
"483",5
"484",8
"485",6
"486",5
"487",7
"488",3
"489",2
"490",9
"491",8
"492",3
"493",4
"494",5
"495",7
"496",6
"497",6
"498",3
"499",5
"500",8
"501",4
"502",5
"503",5
"504",4
"505",4
"506",9
"507",6
"508",7
"509",6
"510",6
"511",6
"512",7
"513",7
"514",6
"515",5
"516",7
"517",1
"518",5
"519",3
"520",4
"521",10
"522",5
"523",7
"524",8
"525",9
"526",6
"527",10
"528",10
"529",7
"530",5
"531",11
"532",15
"533",9
"534",9
"535",5
"536",7
"537",6
"538",3
"539",4
"540",5
"541",5
"542",5
"543",4
"544",5
"545",7
"546",10
"547",13
"548",12
"549",8
"550",6
"551",4
"552",8
"553",9
"554",9
"555",6
"556",4
"557",7
"558",6
"559",4
"560",4
"561",2
"562",2
"563",4
"564",5
"565",2
"566",4
"567",3
"568",4
"569",4
"570",5
"571",3
"572",8
"573",8
"574",3
"575",1
"576",4
"577",4
"578",6
"579",3
"580",4
"581",7
"582",4
"583",7
"584",9
"585",8
"586",11
"587",6
"588",5
"589",5
"590",6
"591",4
"592",4
"593",3
"594",1
"595",2
"596",7
"597",10
"598",8
"599",4
"600",7
"601",9
"602",11
"603",7
"604",5
"605",1
"606",5
"607",5
"608",11
"609",3
"610",3
"611",4
"612",4
"613",3
"614",5
"615",6
"616",6
"617",15
"618",10
"619",3
"620",2
"621",2
"622",2
"623",2
"624",1
"625",2
"626",4
"627",7
"628",7
"629",10
"630",6
"631",4
"632",4
"633",3
"634",2
"635",9
"636",4
"637",5
"638",4
"639",8
"640",3
"641",7
"642",4
"643",3
"644",6
"645",6
"646",8
"647",7
"648",4
"649",5
"650",4
"651",3
"652",1
"653",5
"654",7
"655",9
"656",3
"657",4
"658",4
"659",6
"660",5
"661",5
"662",5
"663",5
"664",5
"665",7
"666",9
"667",4
"668",7
"669",11
"670",5
"671",5
"672",7
"673",3
"674",2
"675",1
"676",1
"677",4
"678",5
"679",9
"680",10
"681",8
"682",2
"683",3
"684",6
"685",7
"686",6
"687",8
"688",4
"689",6
"690",5
"691",3
"692",8
"693",8
"694",6
"695",8
"696",7
"697",2
"698",5
"699",5
"700",4
"701",6
"702",4
"703",2
"704",5
"705",3
"706",7
"707",7
"708",3
"709",8
"710",6
"711",9
"712",5
"713",7
"714",7
"715",6
"716",4
"717",6
"718",9
"719",6
"720",8
"721",6
"722",10
"723",7
"724",8
"725",3
"726",4
"727",1
"728",1
"729",3
"730",2
"731",1
"732",5
"733",2
"734",3
"735",4
"736",4
"737",1
"738",3
"739",6
"740",7
"741",9
"742",5
"743",5
"744",3
"745",4
"746",3
"747",4
"748",5
"749",5
"750",5
"751",9
"752",4
"753",3
"754",7
"755",12
"756",10
"757",5
"758",7
"759",9
"760",5
"761",2
"762",2
"763",3
"764",5
"765",4
"766",3
"767",4
"768",2
"769",5
"770",4
"771",2
"772",6
"773",3
"774",3
"775",3
"776",9
"777",7
"778",3
"779",6
"780",6
"781",12
"782",13
"783",13
"784",11
"785",2
"786",6
"787",2
"788",3
"789",3
"790",3
"791",7
"792",9
"793",3
"794",9
"795",3
"796",2
"797",3
"798",3
"799",5
"800",4
"801",7
"802",7
"803",2
"804",3
"805",4
"806",5
"807",3
"808",3
"809",1
"810",2
"811",2
"812",3
"813",3
"814",2
"815",6
"816",12
"817",11
"818",4
"819",5
"820",1
"821",3
"822",6
"823",5
"824",4
"825",8
"826",3
"827",1
"828",3
"829",4
"830",2
"831",4
"832",3
"833",4
"834",5
"835",3
"836",3
"837",3
"838",3
"839",0
"840",3
"841",6
"842",4
"843",6
"844",11
"845",7
"846",7
"847",5
"848",8
"849",3
"850",2
"851",2
"852",4
"853",3
"854",6
"855",4
"856",1
"857",4
"858",3
"859",2
"860",4
"861",4
"862",6
"863",8
"864",4
"865",5
"866",6
"867",3
"868",6
"869",4
"870",0
"871",2
"872",3
"873",5
"874",4
"875",6
"876",8
"877",5
"878",2
"879",3
"880",2
"881",2
"882",7
"883",7
"884",8
"885",6
"886",2
"887",6
"888",4
"889",6
"890",4
"891",3
"892",5
"893",2
"894",2
"895",2
"896",3
"897",3
"898",3
"899",7
"900",7
"901",4
"902",2
"903",6
"904",2
"905",5
"906",7
"907",10
"908",6
"909",3
"910",4
"911",10
"912",9
"913",5
"914",7
"915",6
"916",2
"917",4
"918",7
"919",7
"920",5
"921",6
"922",4
"923",5
"924",4
"925",6
"926",4
"927",5
"928",6
"929",7
"930",11
"931",12
"932",11
"933",2
"934",1
"935",5
"936",4
"937",5
"938",5
"939",2
"940",2
"941",5
"942",4
"943",5
"944",3
"945",6
"946",8
"947",4
"948",6
"949",5
"950",7
"951",7
"952",6
"953",5
"954",4
"955",6
"956",7
"957",4
"958",4
"959",4
"960",3
"961",2
"962",7
"963",6
"964",6
"965",4
"966",6
"967",1
"968",3
"969",6
"970",5
"971",4
"972",1
"973",1
"974",6
"975",6
"976",6
"977",7
"978",6
"979",5
"980",1
"981",3
"982",7
"983",6
"984",4
"985",4
"986",3
"987",5
"988",10
"989",15
"990",14
"991",11
"992",15
"993",11
"994",7
"995",1
"996",9
"997",7
"998",6
"999",3
"1000",6
